ID,Donation_Type,Quantity,NGO
1, OTHER,2,Tempor Diam Ltd
2,FOOD ,5,Cras Industries
3,FOOD ,9,Cursus Corporation
4, OTHER,6,Molestie Arcu Sed Industries
5, TOOLS ,9,Orci Limited
6, OTHER,5,Nulla Cras Eu Consulting
7, MONEY ,1,Varius Limited
8,FOOD ,10,Mauris Inc.
9, OTHER,1,Nunc Interdum Consulting
10, MEDICINE ,1,Pharetra Nibh Aliquam Associates
11, OTHER,4,Eu Dolor Egestas Industries
12, OTHER,8,Convallis Industries
13, OTHER,7,Congue Elit Sed PC
14,FOOD ,5,Gravida Mauris Ut Company
15, MEDICINE ,2,Sed Leo Cras Inc.
16, MEDICINE ,5,Sapien Aenean Corp.
17,FOOD ,10,Ut Inc.
18, TOOLS ,10,Ut Semper LLP
19,FOOD ,2,Congue A Aliquet Company
20, MONEY ,4,Cursus Luctus Associates
21,FOOD ,1,Enim Etiam Institute
22, OTHER,3,Odio Incorporated
23, TOOLS ,5,Sed Company
24, MONEY ,8,Dapibus Consulting
25,FOOD ,7,Non Institute
26,FOOD ,1,Orci Tincidunt Adipiscing PC
27,FOOD ,8,Proin Eget Odio Incorporated
28, OTHER,6,Eget LLC
29, TOOLS ,2,Diam At Inc.
30, TOOLS ,6,Urna LLP
31, TOOLS ,1,Urna Institute
32, MEDICINE ,2,Scelerisque Lorem LLP
33, TOOLS ,8,Libero Integer Institute
34, TOOLS ,7,Est Associates
35, OTHER,7,Orci LLC
36, MEDICINE ,3,Ut Associates
37, MONEY ,2,Feugiat Inc.
38, TOOLS ,9,Lacus Vestibulum Lorem Foundation
39, MEDICINE ,10,Auctor Vitae Aliquet Consulting
40, MONEY ,9,Dictum Corporation
41, TOOLS ,3,Malesuada Vel Corp.
42,FOOD ,4,Ipsum Inc.
43,FOOD ,10,Risus Limited
44, OTHER,3,Mauris Company
45, OTHER,8,Vel Convallis Industries
46, TOOLS ,2,Magna Cras Corp.
47, MEDICINE ,7,Donec Egestas Aliquam Foundation
48, TOOLS ,10,Ipsum Dolor Company
49,FOOD ,10,Metus In Lorem Consulting
50, TOOLS ,1,Aliquam Iaculis Lacus Corporation
51, OTHER,3,Ultrices Institute
52, TOOLS ,4,Odio Semper Institute
53, MONEY ,9,A Auctor Incorporated
54, MONEY ,3,Mus Aenean Eget PC
55,FOOD ,8,Purus Maecenas Libero Ltd
56,FOOD ,8,Vivamus Industries
57, OTHER,4,Purus Nullam Institute
58, TOOLS ,2,Est Vitae Sodales Industries
59, TOOLS ,3,Lorem Ipsum Dolor PC
60,FOOD ,8,Vulputate Posuere Vulputate Limited
61,FOOD ,10,Fringilla LLP
62, OTHER,9,Egestas A Scelerisque LLP
63,FOOD ,1,Libero Proin Mi LLP
64, MONEY ,7,Aenean Euismod Ltd
65, MONEY ,3,Eu Ltd
66, MEDICINE ,9,Dolor Tempus LLC
67, TOOLS ,5,Enim Nunc Company
68, TOOLS ,4,Sit Amet Metus Institute
69,FOOD ,5,Nunc Interdum Incorporated
70, TOOLS ,2,Non Sapien Ltd
71, TOOLS ,2,Nunc Corporation
72, MONEY ,7,Eu Eros Foundation
73, MEDICINE ,8,Risus Institute
74, MONEY ,2,Neque Institute
75, MEDICINE ,2,Eros Corp.
76, TOOLS ,3,Scelerisque Corp.
77, MONEY ,4,Aenean Massa Integer Foundation
78, TOOLS ,7,Bibendum Ullamcorper Consulting
79,FOOD ,6,Vulputate Dui Nec LLC
80, OTHER,3,Ac Orci Incorporated
81, MONEY ,7,Et Company
82,FOOD ,1,Gravida PC
83, MEDICINE ,10,Tincidunt Nunc Foundation
84,FOOD ,10,Dui Industries
85, MEDICINE ,1,Quisque Ornare Tortor LLC
86, OTHER,8,In Consulting
87, TOOLS ,2,Sem Ltd
88, MEDICINE ,9,Cras Dictum Consulting
89, TOOLS ,7,Ut Corp.
90, MONEY ,8,Risus Odio Associates
91,FOOD ,9,Ullamcorper Viverra LLC
92, MEDICINE ,4,Adipiscing Foundation
93, MONEY ,7,Tempus Eu PC
94,FOOD ,5,Aliquet Diam Sed Ltd
95, MEDICINE ,10,Eu Neque Pellentesque LLP
96, OTHER,9,Eros Nam Corporation
97, OTHER,5,Augue Id Ante Institute
98, MEDICINE ,5,Tempor Erat LLC
99, OTHER,3,Integer Eu Lacus Ltd
100,FOOD ,5,Consectetuer LLC
